Team,SLELO
South Florida,2.0378531990577837
Southeast Missouri State,-4.9655900577950645
Southeastern Louisiana,-2.8262591713762695
Southern,-2.1500771304390227
Southern California,3.0770967022161595
Southern Illinois,1.4452196725943194
Southern Illinois-Edwardsville,-2.236775049655397
Southern Indiana,-3.808768456260771
Southern Methodist,3.0518846105470265
Southern Mississippi,-0.6904977870261149
Southern Utah,-1.0835245132243583
St. Bonaventure,2.0698200457191778
St. John's (NY),4.571652069010839
St. Thomas,-20.0
Stanford,2.378903428728709
Stephen F. Austin,0.08068615877308494
Stetson,-1.2369042125481202
Stonehill,-5.528902277299825
Stony Brook,-1.3153047530346764
Syracuse,2.373169116507841
Tarleton State,-0.2980474028620854
TCU,-20.0
Temple,-0.1534845284317683
Tennessee,7.05635471713466
Tennessee State,-2.5332651569889606
Tennessee Tech,-4.200221856386885
Tennessee-Martin,-1.5877177158408744
Texas,5.4572056027676705
Texas A&M,4.275832235334326
Texas A&M-Commerce,-4.061604181418915
Texas A&M-Corpus Christi,-1.049500090473636
Texas Southern,-2.6444715502798988
Texas State,-0.7630310026638709
Texas Tech,4.78824758912152
Texas-Rio Grande Valley,-20.0
The Citadel,-20.0
Toledo,1.1768774574908594
Towson,-0.018318878593380522
Troy,0.675504778832108
Tulane,1.4637008570049939
Tulsa,-0.5621194818250925
UAB,-20.0
UC Davis,-20.0
UC Irvine,-20.0
UC Riverside,-20.0
UC San Diego,-20.0
UC Santa Barbara,-20.0
UCF,-20.0
UCLA,3.1149770891000315
UNC Asheville,-20.0
UNC Greensboro,-20.0
UNC Wilmington,-20.0
UT Arlington,-20.0
Utah,4.616895518270725
Utah State,3.9133025851358716
Utah Tech,-20.0
Utah Valley,0.44000153309421364
UTEP,-20.0
UTSA,-20.0
Valparaiso,-2.644221574711685
Vanderbilt,0.5439667611339618
Vermont,1.012120686402266
Villanova,4.802289919608731
Virginia,3.731565504450915
Virginia Commonwealth,2.807458455327581
Virginia Military Institute,-5.853109884641297
Virginia Tech,3.704937155718542
Wagner,-3.5015516805071596
Wake Forest,4.315813037453122
Washington,3.54773334959887
Washington State,3.9127090102214757
Weber State,0.2887519336266994
West Virginia,2.4396950643514055
Western Carolina,0.6475438331730963
Western Illinois,-2.4596931444704317
Western Kentucky,-0.1329237256599004
Western Michigan,-2.8245383584822834
Wichita State,0.9435119121271023
William & Mary,-20.0
Winthrop,-0.9138004716008448
Wisconsin,4.90315521528251
Wofford,-1.2185127047844013
Wright State,0.2050371116298069
Wyoming,0.19098380485765237
Xavier,4.213866761563022
Yale,1.7219557363929807
Youngstown State,0.6162018697443987
