Team,SLELO
St. Bonaventure,1.8655408795809407
St. John's (NY),4.67220880668475
St. Thomas,-19.0
Stanford,2.4287249366454438
Stephen F. Austin,-0.08693115916502787
Stetson,-1.2315800998072501
Stonehill,-5.502751035825779
Stony Brook,-1.0336125320014027
Syracuse,2.2604651994186025
Tarleton State,-0.2990684856632281
TCU,4.832959822652749
Temple,0.1686241703328485
Tennessee,6.817702128626078
Tennessee State,-2.5309249753657683
Tennessee Tech,-4.200221856386885
Tennessee-Martin,-1.5854845179307961
Texas,5.5098045569653955
Texas A&M,4.551481561615183
Texas A&M-Commerce,-4.119922563390236
Texas A&M-Corpus Christi,-1.1269272434456978
Texas Southern,-2.5434398629922015
Texas State,-0.6353504528026328
Texas Tech,4.905382015741347
Texas-Rio Grande Valley,-19.0
The Citadel,-19.0
Toledo,1.0675138861592146
Towson,0.05992366870899386
Troy,0.6016936595444758
Tulane,1.4021240898848473
Tulsa,-0.45934816936873674
UAB,-19.0
UC Davis,0.14661141482141973
UC Irvine,2.3718592909821785
UC Riverside,-0.9192200168390312
UC San Diego,0.3769672100414133
UC Santa Barbara,-0.2099437880112341
UCF,-19.0
UCLA,3.357265520405181
UNC Asheville,-19.0
UNC Greensboro,-19.0
UNC Wilmington,-19.0
UT Arlington,-19.0
Utah,4.615258878002241
Utah State,3.864560156051056
Utah Tech,-19.0
Utah Valley,0.43868917352609427
UTEP,-19.0
UTSA,-19.0
Valparaiso,-2.644221574711685
Vanderbilt,0.6950807983792314
Vermont,0.9288317542213271
Villanova,4.722491970056063
Virginia,3.7952593845365934
Virginia Commonwealth,2.9528967922061846
Virginia Military Institute,-5.87199922802394
Virginia Tech,3.5933606786626084
Wagner,-3.274910385097007
Wake Forest,4.303434917215556
Washington,3.511148173574727
Washington State,3.9727514512302267
Weber State,0.1831478486451016
West Virginia,2.2177274430175506
Western Carolina,0.5695594878721107
Western Illinois,-2.46687818803775
Western Kentucky,0.1310413654115032
Western Michigan,-2.95953837084405
Wichita State,1.0340530292849008
William & Mary,-19.0
Winthrop,-0.9425420272763599
Wisconsin,5.1242454227126295
Wofford,-1.382110790893798
Wright State,0.2050371116298069
Wyoming,0.4395741270899137
Xavier,4.145016766730206
Yale,1.6365155797284263
Youngstown State,0.6162018697443987
