Team,SLELO
Western Kentucky,0.1928303759906746
Western Michigan,-1.928215048228514
Wichita State,-0.3674925620423186
William & Mary,-19.0
Winthrop,-5.651417852419235
Wisconsin,2.0801860154979774
Wofford,-0.7450796904989472
Wright State,-1.5152553430387492
Wyoming,1.83498870503764
Xavier,-3.493997469929551
Yale,-2.1431984549327114
Youngstown State,-1.388152111512128
